57	[Sketchfab_model3]	mesh=0	world=(0.724147, 0.235817, -1.26392)	local=(0, 0, -0)
58	[Sketchfab_Scene3]	mesh=0	world=(0.724147, 0.235817, -1.26392)	local=(0, 0, -0)
59	[scene3]	mesh=0	world=(0.724147, 0.235817, -1.26392)	local=(0.746107, 0.311789, -1.25074)
60	[Grup5]	mesh=0	world=(0.0147185, -0.152254, -0.0131742)	local=(-0.792237, -0.314933, 1.25)
61	[Grup6]	mesh=0	world=(0.769696, 0.243765, -1.26317)	local=(0.769696, 0.306431, -1.24852)
62	[WEDS FL]	mesh=0	world=(0, -0.0626657, -0.0146554)	local=(0, 0, -0.0146554)
63	[Object_81]	mesh=1	world=(-0.712042, 0.232765, -1.27308)	local=(9.79714e-05, 0.000216141, -4.98071e-05)
64	[Cal.003_23]	mesh=0	world=(-0.712041, 0.232765, -1.27284)	local=(-0.0248064, 0, -0)
65	[Object_83]	mesh=1	world=(-0.711271, 0.232721, -1.27322)	local=(1.73124e-05, 3.13483e-05, -7.19726e-06)
66	[Object_85]	mesh=1	world=(-0.654132, 0.229229, -1.27601)	local=(0.0534589, -0.02021, 0.00437181)
67	[Disc.003_24]	mesh=0	world=(-0.711274, 0.232721, -1.27318)	local=(-0.0239654, 0, -0)
68	[FR_29]	mesh=0	world=(-0.689412, 0.231474, -1.28292)	local=(-0.714706, 0.310385, -1.3006)
69	[Object.003]	mesh=1	world=(-0.772723, 0.241642, -1.26006)	local=(0.05135, -0.00755019, -0)
70	[Object_1.001]	mesh=1	world=(-0.773966, 0.241773, -1.26761)	local=(0.0525999, 0, -0)
71	[Object_104]	mesh=1	world=(-0.78048, 0.237939, -1.26761)	local=(0.0586768, 0, 0.00449404)
72	[Object_105]	mesh=1	world=(-0.721655, 0.236275, -1.26761)	local=(0, 0, -0)
73	[Object_2.002]	mesh=1	world=(-0.721655, 0.236275, -1.26761)	local=(0, 0, -0)
74	[weds kranze cerberus ii.obj.cleaner.materialmerger.gles1]	mesh=0	world=(-0.721655, 0.236275, -1.26761)	local=(0, 0, -0)
75	[Sketchfab_model1]	mesh=0	world=(-0.721655, 0.236275, -1.26761)	local=(0, 0, -0)
76	[Sketchfab_Scene1]	mesh=0	world=(-0.721655, 0.236275, -1.26761)	local=(0, 0, -0)
